id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;transition_learning_rate;mixing_weight_low_stable;mixing_weight_high_stable;mixing_weight_low_variable;mixing_weight_high_variable;choice_stickiness;response_stickiness
12-001;0.624158407910281;0.942696615102947;0.573447027268034;0.123887977773986;0.809297308434925;0.838120695212757;0.389911881014024;0.339840007820951;1.65811042647732;-0.0578333695581086
12-002;0.392644811680467;0.87534510169016;0.668314392832416;0.798060154311361;0.776479827380156;0.474386817257798;0.469568473132151;0.688982122062055;0.606858588144084;0.0528692959032526
12-003;0.288591720368125;0.856850748460731;0.817296674328318;0.672575719686859;0.581915211499499;0.520719634400298;0.330267213687906;0.501636211354079;1.07680085925449;-1.01700516211849
12-004;0.745101844603007;0.939090928310315;0.884633911299098;0.0495457583800254;0.866320616579256;0.891637837256441;0.398372028800536;0.577335019231861;-0.0724642780010143;-0.125847815135819
12-005;0.406656235266487;0.950597358649407;0.805395872520483;0.809970316233901;0.81012585288542;0.853387589834042;0.573940046991791;0.737755383770388;1.36611029218675;-0.409221171217963
12-006;0.214873088051894;0.669569766426268;0.723443193122283;0.377004611095639;0.732180411670998;0.639715719837232;0.632405935563582;0.366287922464582;1.19847329610758;-0.604515162134026
12-007;0.445687389169473;0.956315293615321;0.788859125629329;0.150038373737189;0.89554868202825;0.687980741557224;0.862912076070062;0.209692323720935;1.41030313093649;-0.0460588264595394
12-008;0.600332029265965;0.912170946356996;0.446262208287489;0.554279050920351;0.648736761989476;0.80011209133484;0.320317770105294;0.500166163268183;0.780516113985458;-0.926564288588873
12-009;0.334317605831869;0.105661610557735;0.498667507794873;0.585231215388864;0.450738582594037;0.290980325327246;0.263553502513143;0.432670101804101;-0.242404964002571;-0.207313495770258
12-010;0.480240648601562;0.875005505991426;0.841259660982198;0.636810315362116;0.415833715202599;0.476944173521154;0.51270675404528;0.410504853227211;1.4603586798028;-0.0769639339443325
12-011;0.217666288006005;0.902407111923923;0.876458625602085;0.697260617902877;0.243474574842374;0.205043981998244;0.480347908676513;0.534454425683663;0.766056588122235;0.124326072859097
12-012;0.657113447168361;0.927312921637143;0.543093117905465;0.674327464858582;0.701990334073449;0.8258248003598;0.56524953436272;0.803876551010786;0.503780931323148;-0.0839680601691855
12-013;0.2302685130214;0.834923795557583;0.549746980012794;0.68477577739437;0.335665644931011;0.17908004201541;0.392490642734893;0.766094802377085;1.5612463974834;0.26807130901828
12-014;0.5370454740227;0.82074854571646;0.422058878003711;0.773329084802979;0.859904929052669;0.69703045417378;0.625546268370468;0.570156028890344;0.745299278638411;0.00748481313410039
12-015;0.170842169203649;0.86094382739149;0.822002261585983;0.708054123399078;0.216960208975768;0.133426697532433;0.530153482187039;0.534740160566869;0.652109571328695;-0.154677393714057
12-016;0.35052823502482;0.610563355042431;0.374831324248068;0.0551630938145051;0.648532419312113;0.395807275791711;0.298982614755317;0.681123595978789;1.53928353593731;-0.499326413186578
12-017;0.504321814027548;0.844067939716294;0.673065800530294;0.0433943749420024;0.864933447818386;0.730968403004306;0.2482784812675;0.598542590025749;1.4234971847858;0.145198763183236
12-018;0.186123228937594;0.511885493141061;0.508929790029827;0.231672708104908;0.546514748577481;0.604024803812473;0.631833942707676;0.372246062108181;-0.328178102643739;-1.05705701418068
12-019;0.493382243096626;0.0263811759888097;0.377887881840118;0.52972307630912;0.347114867101491;0.523033846328528;0.349479992893885;0.568893243393159;-0.102881676616278;-1.3287812552666
12-020;0.247008968537377;0.750533822917832;0.692469873635378;0.808498607678262;0.136446947514306;0.139377064974971;0.734179687471389;0.64034438299504;2.16775012296022;0.219972061050602
12-021;0.64799541820566;0.77564132275079;0.313581697267957;0.608892871369788;0.895823368025682;0.888536146032664;0.727472152565295;0.227332653168675;0.972830412402663;0.469569828914545
12-022;0.430113084925298;0.601505310709472;0.739373940150643;0.558443565087016;0.360541246336536;0.557227475774291;0.684181769944331;0.66746140983496;1.45008175939364;-4.13938176998834e-05
12-023;0.608525350637136;0.968300520781802;0.771156338146102;0.754567875936321;0.764584164517072;0.883531510572865;0.731802400439518;0.647742398107517;0.120805658657703;0.0743127918228791
12-024;0.166755784991302;0.874514019052779;0.844070141511994;0.597338615623044;0.252409655806889;0.293435982268506;0.475302644071546;0.729533060852765;1.76153512002859;-0.0824353767883269
12-025;0.40755075801906;0.523386955652638;0.391904149523097;0.612428534055497;0.717166697387483;0.633263266536758;0.715986391284379;0.520755639876237;1.27026624941516;0.493345562539728
12-026;0.407116794591501;0.933468602232882;0.770460734678391;0.830965733049383;0.534570840803932;0.618961843234182;0.837815316286695;0.703416999414459;0.722830629145685;0.46608781591487
12-027;0.651841715780461;0.932176686747678;0.534408286267985;0.659845423856322;0.742406738918933;0.80722394398934;0.374472075855821;0.456897600922421;0.179667394167524;0.127063470299075
12-028;0.488917495710131;0.885819322626113;0.451609399912064;0.811646815891796;0.825728519983836;0.875255557880212;0.603341903890034;0.251782439901337;1.7456027042276;0.0601973520705862
12-029;0.737065252277157;0.962472590171286;0.858005170897315;0.369034105537762;0.925397395498194;0.859740939086702;0.547532755054647;0.611918326382929;1.15172116512826;0.0553046957662217
12-031;0.534647745994444;0.897652443652575;0.533208586098049;0.80974440977355;0.710621310977441;0.818192221571465;0.648171123590822;0.423145991512113;0.395116644096679;0.101566408182917
12-032;0.582573939510681;0.954737580070582;0.47441287855038;0.840095094217953;0.911092069497063;0.887360339300641;0.538083758961234;0.57006089619043;0.188093820681071;-0.25479490635212
12-033;0.559515750056716;0.815466393343971;0.816330750713887;0.26932017985376;0.685743085729663;0.751636635097379;0.24783599138788;0.360145589075314;0.22229814953058;-0.146123371369715
12-034;0.358800445918286;0.0968362063124892;0.654684215518441;0.17598456675089;0.222150429199387;0.249869124543196;0.473389144990814;0.608682527964372;0.653907412710621;-0.0274026557864871
12-035;0.323967909713988;0.825400784375163;0.439953147543779;0.0387357839034935;0.818041408343322;0.825854740308799;0.538152369038104;0.405867367656072;0.540050248114843;-0.268638640565091
12-036;0.550704894123664;0.820972604516566;0.642963089097215;0.635317994699698;0.72188347340128;0.790681797260981;0.572778381933992;0.749879144520428;0.820877794867324;0.225651106100594
12-037;0.18281796514518;0.557934102474509;0.368139805700212;0.13536109072539;0.289486121105203;0.670358966563377;0.61840856280857;0.52784762161861;-1.00221856346999;1.03648727313626
12-038;0.278857210023416;0.564864998211909;0.872147165275938;0.774146965769248;0.431632026770567;0.12943846866277;0.503573303338391;0.454693625171889;1.64592371848392;0.614495808305993
12-039;0.616070281847386;0.946644625111367;0.36568354232633;0.857061533180244;0.918340977699654;0.885192876640575;0.707588577918744;0.552870352321623;0.394389471846012;0.0532846091150055
12-040;0.390277145705389;0.138811510151254;0.461121015519388;0.626205435584834;0.372343355486935;0.118065807584879;0.304733798609717;0.679776264939341;0.530754075110724;-0.501489388871398
12-041;0.743372984168357;0.916537832774762;0.792476874233522;0.702544050361537;0.82131141980253;0.857600146940865;0.715142374950458;0.577781858420406;0.143603143363346;0.350942432699262
12-042;0.395651597020096;0.856422890606333;0.332984838217923;0.084779250406577;0.703339933621086;0.405724776830644;0.572603847306876;0.1108345171634;1.87581073865285;-0.388407994506625
12-043;0.598988566884938;0.962463447779123;0.775331802101712;0.808127598123882;0.759152649734161;0.933058791471113;0.803189523645215;0.823428309330566;-0.611549391168858;-0.0512749666335671
12-044;0.387006789060906;0.946221447396801;0.55660038117362;0.787391215678935;0.834397028012119;0.849083481755952;0.795712445750597;0.840593167554643;0.354805089141712;0.101671877864863
12-045;0.680988502891216;0.953537309754825;0.557144646383451;0.622619385674111;0.896471955097617;0.927344536928908;0.735882329692307;0.566501812495927;0.0906477959065675;0.0487024358197362
12-046;0.374808219266305;0.340621931400674;0.264241701532623;0.637219552721541;0.321151729018931;0.328020051087245;0.583774924788576;0.611689553354269;-0.58900631396518;-0.709007892428244
12-047;0.576228823791527;0.828215713493181;0.727689035997816;0.144364946094663;0.689981623392088;0.866872344934992;0.367197859234669;0.699915934592806;0.540915134017815;0.0598105692145124
12-048;2.70269744462398;0.0515258949787188;0.54660436691573;0.568786564693484;0.0939050998251912;0.236547574047127;0.127508124194194;0.134258708868827;0.332223507754741;-0.0158336549412139
12-049;0.457281342890351;0.347329467156845;0.4247197794669;0.84740814434397;0.535696539309102;0.861023164470393;0.391278295920231;0.814848152849001;0.593759032598975;-0.426723326949645
12-050;0.587060695078298;0.928747121311079;0.410985005495715;0.181849529002636;0.837933551044426;0.821440061905758;0.589295603629787;0.63171131556563;0.65362886422571;0.357122230666904
12-051;0.323086013679018;0.926735287769262;0.4550971613503;0.658491826661978;0.426073300869785;0.804214135793673;0.447023735015845;0.38278735914924;0.792365195408632;-0.0817817668273323
12-053;1.15154809034138;0.0448012541521855;0.249291216841948;0.731430411480054;0.518571047539687;0.686909016228615;0.350378009246462;0.431698435574906;0.479389504490424;-0.718081200424911
12-054;0.360157341095714;0.074836841373471;0.30698950565216;0.500919823466403;0.295486064068134;0.253468097696248;0.588716940733996;0.532263671243309;-0.0946799881044044;1.06445003981986
12-055;0.272829600995108;0.778831531864582;0.528416532822323;0.633259849689879;0.665194412795891;0.428498151418201;0.611369479227252;0.464380527436694;1.26005137364881;-0.926327715785802
12-057;0.394675609841095;0.911901785535637;0.76944066835331;0.770205395641329;0.50965294564704;0.493134812230512;0.30054359087916;0.786517021147613;0.92603000011491;0.214063509671927
12-058;0.308459957973381;0.676258522437748;0.845909018055687;0.11358859047913;0.642626414701809;0.524401780416831;0.64377963874467;0.237821214419313;0.349368413146939;0.03877423967519
12-059;0.493386672120405;0.917604497875441;0.766848988199858;0.298563529641371;0.694603844173932;0.582286865589422;0.562976622492831;0.818889515552518;1.05719738389802;-0.176253092808605
12-060;0.647558451889789;0.6104943315487;0.296832710589373;0.75289031976254;0.556735433967898;0.706868362681726;0.388133718253504;0.601180757532472;0.982387713022826;-0.0170720974770086
12-061;0.430985923935239;0.943609817355069;0.861941064445678;0.524618615463007;0.766830058564342;0.507455733998413;0.466415304832734;0.754202643904747;0.436427455082883;-0.484032159647375
12-062;0.226756302581997;0.817953280942571;0.807539518514142;0.700520091431254;0.155443191686004;0.22102528545565;0.555198518566225;0.339638110582403;0.833942809895858;0.47085795444214
12-063;0.450162463827632;0.769268741377799;0.670821962626739;0.692952837748736;0.622673760452119;0.626319751667007;0.468817251087209;0.633262963434916;0.259597455980708;0.23831719766074
